BATCH,CONTEXT LENGTH,CURSOR POSITION,COMPLETION LENGTH,WITH HISTORY,BEFORE CURSOR,AFTER CURSOR,GENERATED TEXT,HIDDEN MASKET TEXT
1,short,sentence_middle,medium,True,"""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a gre","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.",etings card to the year.,"at platform to build from. I know I am playing good golf.
""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_middle,medium,False,"""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a gre","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.","et feeling coming back and playing in front of these fans again.""

McIlroy was joined","at platform to build from. I know I am playing good golf.
""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_middle,long,True,"""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a gre","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.","etings card to the year. It sets me up nicely for the rest of the year.""

McIlroy, who won the Arnold Palmer Invitational in Orlando last week, began with a par before making five successive gains from","at platform to build from. I know I am playing good golf.
""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_middle,long,False,"""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a gre","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.","et feeling coming back and having another good week.""

McIlroy was joined in the clubhouse by American Scottie Scheffler (67) and South Africa's Louis Oosthuizen (68), both one shot behind","at platform to build from. I know I am playing good golf.
""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_end,short,True,"...McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf.","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.",It's nice to,"""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_end,short,False,"...McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf.","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.",It was nice to get,"""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_end,medium,True,"...McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf.","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.","It's nice to get a few putts to drop today.""

McIlroy began","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_end,medium,False,"...McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf.","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.","It was nice to get off to a solid start today.""

McIlroy is seeking his","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_end,long,True,"...McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf.","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.","It's nice to get off to a good start.""

McIlroy, who won the Abu Dhabi Championship earlier this month, carded six birdies against five bogeys for a round of 68.","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,short,sentence_end,long,False,"...McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf.","Young's challenge faltered with two early dropped shots, while three birdies on the back nine were cancelled out by three more bogeys for the 2022 Open runner-up.","It was nice to get off to a solid start.""

McIlroy is bidding to become only the sixth player in history to claim the career grand slam after Jack Nicklaus and Tiger Woods. He has won the Masters twice","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well."""
1,medium,sentence_middle,short,True,"...at the par-three seventh and a bogey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within on","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...",shot of the Ulst,"e shot of the defending champion.
McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_middle,short,False,"...at the par-three seventh and a bogey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within on","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...",shot of the leader.,"e shot of the defending champion.
McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_middle,medium,True,"...at the par-three seventh and a bogey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within on","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...",shot of the Ulsterman.,"e shot of the defending champion.
McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_middle,medium,False,"...at the par-three seventh and a bogey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within on","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...",shot before dropping a shot at the last.,"e shot of the defending champion.
McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_middle,long,True,"...at the par-three seventh and a bogey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within on","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...","shot of the Ulsterman. However, McIlroy responded with a superb approach to set up a tap-in birdie at the par-four 15th before closing out victory with pars at the last two holes.","e shot of the defending champion.
McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_middle,long,False,"...at the par-three seventh and a bogey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within on","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...","shot of the leader. However, McIlroy responded by holing from eight feet for birdie at the 16th before closing things out with a par at the last. ""I knew I had a little bit of a cushion going","e shot of the defending champion.
McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_end,short,True,"...gey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within one shot of the defending champion.","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...","However,","McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_end,short,False,"...gey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within one shot of the defending champion.","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...","However,","McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_end,medium,True,"...gey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within one shot of the defending champion.","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...","However, McIlroy responded with consecutive pars before closing out the title with a pair of par","McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_end,medium,False,"...gey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within one shot of the defending champion.","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...","However, McIlroy responded by holing from eight feet for a birdie at the 1","McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_end,long,True,"...gey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within one shot of the defending champion.","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...","However, McIlroy's par at the 15th proved decisive before he sealed victory with a closing par.

Meronk ended the tournament tied for second with American Kurt Kitayama, who carded a closing round","McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,medium,sentence_end,long,False,"...gey at the ninth.
But, after making three birdies in the opening five holes of the back nine, coupled with McIlroy's six at the par-five 13th, he returned to within one shot of the defending champion.","But McIlroy parred his final two holes to close out victory.
Meanwhile, Tommy Fleetwood, who edged out McIlroy to win the Dubai Invitational, closed in 73 to finish tied for 14th on six under, alongsi...","However, McIlroy responded by holing from eight feet for birdie at the 16th before parring the last two holes to secure his fourth European Tour title. ""I knew it was going to be tough today,"" said McIl","McIlroy scrambled pars on the 14th, 15th and 16th, while Meronk, playing in the penultimate group, bogeyed the par-four 16th before fighting back to birdie the last and set a clubhouse lead of 13 under."
1,long,sentence_middle,short,True,"...fessional victory back in 2009.
He is now looking to build towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""c","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...",areer grand slam,"areer slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_middle,short,False,"...fessional victory back in 2009.
He is now looking to build towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""c","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...",areer grand slam,"areer slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_middle,medium,True,"...fessional victory back in 2009.
He is now looking to build towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""c","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","razy week"", McIlroy said.","areer slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_middle,medium,False,"...fessional victory back in 2009.
He is now looking to build towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""c","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","areer Grand Slam"" - winning all four majors - if he triumphs at Augusta","areer slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_middle,long,True,"...fessional victory back in 2009.
He is now looking to build towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""c","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","areer grand slam"" by winning the US Open and the PGA Championship. ""Obviously I'd love to go on and try and win some more tournaments and maybe even a few more majors this year, but it's","areer slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_middle,long,False,"...fessional victory back in 2009.
He is now looking to build towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""c","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","areer Grand Slam"" - winning all five major titles - if he triumphs at Augusta National. ""The next few months are going to be huge for me, starting with the Masters in a month or so. So it's nice","areer slam"" of all four majors with victory at Augusta.
""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_end,short,True,"...ild towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","""But I know I","""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_end,short,False,"...ild towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","""These events are always","""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_end,medium,True,"...ild towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","""But I know I've got some work to do between now and then.","""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_end,medium,False,"...ild towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","""These events are always important, especially coming off a long break.","""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_end,long,True,"...ild towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","""But I know I've got a long way to go to get myself ready for that. It's nice to get some momentum going, especially coming off a bit of a layoff.""

A man and woman have died along with","""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
1,long,sentence_end,long,False,"...ild towards this year's majors, which start with the Masters in April.
""It's a great start to the season,"" added McIlroy, who can complete the ""career slam"" of all four majors with victory at Augusta.","""There are still a couple of misses off the tee left, a couple of little things still to work on, but these weeks are great. Obviously great to get the competition and come out on top as well.""
Young'...","""The next few months are going to be huge for me, starting with the Masters. It's always nice to have some momentum coming into them.""

Rory McIlroy has won the Dubai Desert Classic for a record fourth","""I started well last year with the win here, it's a great platform to build from. I know I am playing good golf."
2,no,sentence_middle,short,True,But Israel's prime minister seems to have staked his political survival on a hard-line ,,stance towards Palestinians,"anti-Palestinian position.
No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_middle,short,False,But Israel's prime minister seems to have staked his political survival on a hard-line ,,stance against the Palestini,"anti-Palestinian position.
No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_middle,medium,True,But Israel's prime minister seems to have staked his political survival on a hard-line ,,"stance towards Palestinians, refusing to entertain the idea of a Palestinian state.","anti-Palestinian position.
No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_middle,medium,False,But Israel's prime minister seems to have staked his political survival on a hard-line ,,stance against the Palestinians.,"anti-Palestinian position.
No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_middle,long,True,But Israel's prime minister seems to have staked his political survival on a hard-line ,,"stance towards Palestinians, refusing to consider a two-state solution. In a statement on Saturday, Mr Netanyahu said Israel must maintain ""security control over the entire area west of the River Jordan,"" effectively ruling out the creation of a","anti-Palestinian position.
No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_middle,long,False,But Israel's prime minister seems to have staked his political survival on a hard-line ,,"stance against Iran, and he has been emboldened by the support of President Trump. Mr. Netanyahu is expected to address Congress next month in an effort to rally American lawmakers behind his position that any deal with Iran must be much more","anti-Palestinian position.
No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_end,short,True,But Israel's prime minister seems to have staked his political survival on a hard-line anti-Palestinian position.,,In a statement on Saturday,"No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_end,short,False,But Israel's prime minister seems to have staked his political survival on a hard-line anti-Palestinian position.,,In the past few days,"No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_end,medium,True,But Israel's prime minister seems to have staked his political survival on a hard-line anti-Palestinian position.,,"In a statement on Saturday, Mr Netanyahu said Israel must maintain ""security control over the entire","No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_end,medium,False,But Israel's prime minister seems to have staked his political survival on a hard-line anti-Palestinian position.,,"He has refused to negotiate with the Palestinian Authority, which he accuses of incitement and","No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_end,long,True,But Israel's prime minister seems to have staked his political survival on a hard-line anti-Palestinian position.,,"And despite international pressure, he shows no signs of backing down.

Netanyahu's latest statement rejecting the creation of a Palestinian state drew condemnation from the United States and European Union. The EU's foreign affairs chief Jose","No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,no,sentence_end,long,False,But Israel's prime minister seems to have staked his political survival on a hard-line anti-Palestinian position.,,"In recent weeks, he has taken steps that could make it harder for the Palestinians to achieve their goal of an independent state with East Jerusalem as its capital.

Netanyahu announced plans last month to build thousands more settler homes in","No longer can he sell himself as ""Mr Security"" after the worst attacks in Israel's history happening under his watch."
2,short,sentence_middle,short,True,"...e's a number of countries that are members of the UN that... don't have their own militaries,"" Mr Biden said.
But Mr Netanyahu has spent his career resisting a Palestinian state and just last month bo",The US has repeatedly tried to influence Israel's military strategy during this conflict - urging more precision-guided attacks in Gaza as opposed to the blanket air strikes; delaying or abandoning th...,asted that he had prevented,"asted that he was proud to have prevented it.
The timing of yet another rebuttal of the Biden Administration will heighten a sense of his growing international isolation."
2,short,sentence_middle,short,False,"...e's a number of countries that are members of the UN that... don't have their own militaries,"" Mr Biden said.
But Mr Netanyahu has spent his career resisting a Palestinian state and just last month bo",The US has repeatedly tried to influence Israel's military strategy during this conflict - urging more precision-guided attacks in Gaza as opposed to the blanket air strikes; delaying or abandoning th...,asted about expanding Jewish settlement,"asted that he was proud to have prevented it.
The timing of yet another rebuttal of the Biden Administration will heighten a sense of his growing international isolation."
2,short,sentence_middle,medium,True,"...e's a number of countries that are members of the UN that... don't have their own militaries,"" Mr Biden said.
But Mr Netanyahu has spent his career resisting a Palestinian state and just last month bo",The US has repeatedly tried to influence Israel's military strategy during this conflict - urging more precision-guided attacks in Gaza as opposed to the blanket air strikes; delaying or abandoning th...,asted that he had prevented one from coming into existence.,"asted that he was proud to have prevented it.
The timing of yet another rebuttal of the Biden Administration will heighten a sense of his growing international isolation."
2,short,sentence_middle,medium,False,"...e's a number of countries that are members of the UN that... don't have their own militaries,"" Mr Biden said.
But Mr Netanyahu has spent his career resisting a Palestinian state and just last month bo",The US has repeatedly tried to influence Israel's military strategy during this conflict - urging more precision-guided attacks in Gaza as opposed to the blanket air strikes; delaying or abandoning th...,"asted about having ""no intention whatsoever of establishing a Palestinian state west of the Jordan River"".","asted that he was proud to have prevented it.
The timing of yet another rebuttal of the Biden Administration will heighten a sense of his growing international isolation."
2,short,sentence_middle,long,True,"...e's a number of countries that are members of the UN that... don't have their own militaries,"" Mr Biden said.
But Mr Netanyahu has spent his career resisting a Palestinian state and just last month bo",The US has repeatedly tried to influence Israel's military strategy during this conflict - urging more precision-guided attacks in Gaza as opposed to the blanket air strikes; delaying or abandoning th...,"asted that he had thwarted international efforts to create one.

Mr Netanyahu's latest statement seems to rule out any possibility of compromise, even as the violence continues.

Israel's military campaign in Gaza has","asted that he was proud to have prevented it.
The timing of yet another rebuttal of the Biden Administration will heighten a sense of his growing international isolation."
